"serial_number","film_name","film_intro","film_star","film_eval","film_describe"
"158","恋恋笔记本","2004/美国/剧情爱情","8.5","322758人评价","爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 "
"159","花样年华","2000/香港/剧情爱情","8.5","278995人评价","偷情本没有这样美。"
"160","达拉斯买家俱乐部","2013/美国/剧情传记同性","8.7","212590人评价","Jared Leto的腿比女人还美！"
"161","二十二","2015/中国大陆/纪录片","8.7","124632人评价","有一些东西不应该被遗忘。"
"162","无人知晓","2004/日本/剧情","9.1","86030人评价","我的平常生活就是他人的幸福。"
"163","雨中曲","1952/美国/喜剧歌舞爱情","9.0","103737人评价","骨灰级歌舞片。"
"164","魂断蓝桥","1940/美国/剧情战争爱情","8.8","143092人评价","中国式内在的美国电影。"
"165","猜火车","1996/英国/犯罪剧情","8.5","272465人评价","不可猜的青春迷笛。 "
"166","穿越时空的少女","2006/日本/剧情爱情科幻动画","8.6","206543人评价","爱上未来的你。 "
"167","我是山姆","2001/美国/剧情家庭","8.8","120271人评价","爱并不需要智商 。"
"168","血战钢锯岭","2016/美国澳大利亚/剧情传记历史战争","8.7","371736人评价","优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。"
"169","冰川时代","2002/美国/喜剧动画冒险","8.5","309474人评价","松鼠才是角儿。"
"170","人工智能","2001/美国/冒险剧情科幻","8.6","214403人评价","对爱的执着，可以超越一切。"
"171","爆裂鼓手","2014/美国/剧情音乐","8.6","269530人评价","这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。"
"172","浪潮","2008/德国/剧情惊悚","8.7","148677人评价","世界离独裁只有五天。"
"173","朗读者","2008/美国德国/剧情爱情","8.5","300862人评价","当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 "
"174","罗生门","1950/日本/犯罪剧情悬疑","8.7","143500人评价","人生的N种可能性。"
"175","未麻的部屋","1997/日本/动画奇幻惊悚","8.8","114994人评价","好的剧本是，就算你猜到了结局也猜不到全部。"
"176","香水","2006/德国法国西班牙美国/剧情犯罪奇幻","8.4","308436人评价","一个单凭体香达到高潮的男人。"
"177","被解救的姜戈","2012/美国/剧情动作西部冒险","8.6","291104人评价","热血沸腾，那个低俗、性感的无耻混蛋又来了。"
"178","阿飞正传","1990/香港/犯罪剧情爱情","8.5","236129人评价","王家卫是一种风格，张国荣是一个代表。"
"179","头脑特工队","2015/美国/喜剧动画冒险","8.7","266715人评价","愿我们都不用长大，每一座城堡都能永远存在。"
"180","可可西里","2004/中国大陆香港/剧情犯罪","8.7","144737人评价","坚硬的信仰。"
"181","恐怖游轮","2009/英国澳大利亚/剧情悬疑惊悚","8.4","371791人评价","不要企图在重复中寻找已经失去的爱。"
"182","一次别离","2011/伊朗法国/剧情家庭","8.7","146709人评价","只有有信仰的人才能说出事实真相。"
